,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
357,Padang,82,ID,2019-09-29,83,-0.92,100.36,79.79,13.38
358,Pontalina,14,BR,2019-09-29,41,-17.52,-49.45,83.93,5.84
359,Sandane,75,NO,2019-09-29,71,61.77,6.22,54.0,6.93
360,Brunswick,40,DE,2019-09-29,77,52.26,10.53,64.0,9.17
361,Atasu,100,KZ,2019-09-29,36,48.68,71.64,43.61,13.42
362,Maryborough,49,AU,2019-09-29,96,-25.54,152.7,62.87,2.44
363,Inuvik,5,CA,2019-09-29,86,68.36,-133.71,30.2,3.36
364,Suntar,100,RU,2019-09-29,71,62.16,117.65,35.69,6.89
365,Marzuq,67,YE,2019-09-29,26,14.4,46.47,86.99,10.85
366,Tazovskiy,99,RU,2019-09-29,90,67.47,78.7,33.17,5.41
367,Orsha,90,BY,2019-09-29,82,54.51,30.43,57.2,6.71
368,Tiznit,2,MA,2019-09-29,68,29.7,-9.73,72.59,11.56
369,Gushikawa,90,JP,2019-09-29,94,26.35,127.87,84.2,10.29
370,Solwezi,57,ZM,2019-09-29,10,-12.18,26.4,97.61,4.05
371,Khash,34,IR,2019-09-29,6,28.22,61.21,87.17,4.0
372,Dakar,40,SN,2019-09-29,66,14.69,-17.45,86.0,10.29
373,El Alto,20,BO,2019-09-29,75,-16.5,-68.19,42.8,2.24
374,Sungairaya,100,ID,2019-09-29,67,0.7,108.9,83.75,1.77
375,La Ronge,20,CA,2019-09-29,92,55.1,-105.3,26.6,4.7
376,Tezu,86,IN,2019-09-29,94,27.93,96.16,70.61,1.79
377,Kharp,100,RU,2019-09-29,95,66.82,65.8,27.59,7.76
378,Tecpan,40,GT,2019-09-29,93,14.76,-90.99,62.6,6.93
379,Moyale,55,ET,2019-09-29,34,3.52,39.05,86.45,13.27
380,Atar,31,MR,2019-09-29,17,20.52,-13.05,101.75,5.88
381,Jimeta,99,NG,2019-09-29,71,9.28,12.44,80.33,9.55
382,Carnarvon,79,ZA,2019-09-29,25,-30.97,22.13,72.77,19.77
383,Bartica,40,GY,2019-09-29,83,6.41,-58.62,80.6,4.7
384,Guerrero Negro,0,MX,2019-09-29,85,27.97,-114.04,67.01,19.64
385,Rochegda,85,RU,2019-09-29,62,62.67,43.41,48.11,9.15
386,Scottsbluff,90,US,2019-09-29,100,41.87,-103.67,57.99,10.29
387,Ust-Barguzin,100,RU,2019-09-29,85,53.41,109.03,47.03,2.73
388,Komsomolsk,0,RU,2019-09-29,66,57.03,40.38,51.8,11.18
389,Kutum,68,SD,2019-09-29,24,14.2,24.66,90.77,18.48
390,Archidona,75,EC,2019-09-29,100,-0.91,-77.81,68.0,3.87
391,Icod de los Vinos,0,ES,2019-09-29,64,28.37,-16.71,80.6,5.82
392,Afyonkarahisar,0,TR,2019-09-29,26,38.76,30.53,72.77,2.86
393,Gornopravdinsk,66,RU,2019-09-29,80,60.06,69.92,35.51,4.03
394,Vytegra,56,RU,2019-09-29,72,61.01,36.45,52.43,13.02
395,Tuatapere,99,NZ,2019-09-29,75,-46.13,167.69,50.0,3.0
396,Bela,0,PK,2019-09-29,24,26.23,66.31,97.79,7.43
397,Ouallam,0,NE,2019-09-29,24,14.32,2.08,100.49,9.08
398,Kautokeino,100,NO,2019-09-29,94,69.01,23.04,33.35,16.49
399,Codrington,0,AU,2019-09-29,87,-28.95,153.24,60.8,4.5
400,Arinos,100,BR,2019-09-29,87,-15.92,-46.11,66.65,6.04
401,Itarema,98,BR,2019-09-29,59,-2.92,-39.92,81.59,10.49
402,Pictou,100,CA,2019-09-29,91,45.68,-62.71,61.0,11.99
403,Guilin,0,CN,2019-09-29,61,25.28,110.29,77.0,2.24
404,Godfrey,90,US,2019-09-29,100,38.96,-90.19,73.4,8.08
405,Whyalla,54,AU,2019-09-29,71,-33.04,137.58,57.2,11.41
406,Chino Valley,75,US,2019-09-29,67,34.76,-112.45,62.01,14.99
407,Aykhal,90,RU,2019-09-29,69,65.95,111.51,33.8,6.71
408,Gamba,100,CN,2019-09-29,58,28.28,88.52,41.63,9.13
409,Lavrentiya,35,RU,2019-09-29,94,65.58,-170.99,33.71,0.69
410,Esperance,0,AU,2019-09-29,87,-33.86,121.89,55.4,12.75
411,Ponta Delgada,40,PT,2019-09-29,88,37.73,-25.67,75.2,14.99
412,Seoul,1,KR,2019-09-29,100,37.57,126.98,69.8,8.61
413,Fort Nelson,20,CA,2019-09-29,92,58.81,-122.69,28.4,5.82
414,Avenal,1,US,2019-09-29,65,36.0,-120.13,48.2,6.93
415,Batagay,0,RU,2019-09-29,82,67.65,134.64,25.25,2.21
416,Nieves,77,MX,2019-09-29,93,24.0,-103.02,55.49,8.5
417,Terrace,5,CA,2019-09-29,74,54.52,-128.61,37.4,14.99
418,Moses Lake,90,US,2019-09-29,80,47.13,-119.28,39.2,17.22
419,Port Blair,7,IN,2019-09-29,77,11.67,92.75,83.75,5.61
420,Jalu,0,LY,2019-09-29,23,29.03,21.55,93.65,4.29
421,Emba,20,CY,2019-09-29,69,34.81,32.42,82.4,11.41
422,Skjervoy,75,NO,2019-09-29,65,70.03,20.97,41.0,10.29
423,Anchorage,90,US,2019-09-29,93,61.22,-149.89,48.99,10.29
424,Tuburan,75,PH,2019-09-29,74,10.73,123.82,86.0,10.29
425,Hervey Bay,49,AU,2019-09-29,83,-25.3,152.85,73.0,12.75
426,Oliveira,53,BR,2019-09-29,68,-20.7,-44.83,70.07,5.32
427,Srednekolymsk,57,RU,2019-09-29,83,67.46,153.71,26.51,3.78
428,Kathmandu,75,NP,2019-09-29,82,27.71,85.32,68.0,4.7
429,Vostok,17,RU,2019-09-29,82,46.45,135.83,41.63,4.09
430,Neuquen,0,AR,2019-09-29,44,-38.95,-68.06,57.2,8.05
431,Verkhnyaya Inta,100,RU,2019-09-29,96,65.99,60.32,39.65,10.63
432,Sattahip,20,TH,2019-09-29,74,12.67,100.9,91.0,4.7
433,Havoysund,75,NO,2019-09-29,74,71.0,24.66,37.4,14.99
434,Chegdomyn,26,RU,2019-09-29,92,51.13,133.04,35.15,1.45
435,Lima,90,PE,2019-09-29,87,-12.06,-77.04,60.8,10.29
436,Warrnambool,64,AU,2019-09-29,61,-38.38,142.48,53.01,5.01
437,Magaria,100,NE,2019-09-29,28,13.0,8.91,96.53,14.36
438,Opuwo,56,NA,2019-09-29,13,-18.06,13.84,90.59,14.12
439,Killorglin,75,IE,2019-09-29,82,52.1,-9.78,59.0,10.29
440,Kiama,90,AU,2019-09-29,76,-34.67,150.86,62.01,3.36
441,Plettenberg Bay,79,ZA,2019-09-29,88,-34.05,23.37,63.23,14.5
442,Turukhansk,99,RU,2019-09-29,93,65.8,87.96,31.91,2.28
443,Vuktyl,100,RU,2019-09-29,95,63.86,57.31,41.27,8.68
444,Azare,99,NG,2019-09-29,44,11.67,10.19,91.67,9.51
445,Kuching,75,MY,2019-09-29,88,1.56,110.34,80.6,1.12
446,Santa Cruz Cabralia,90,BR,2019-09-29,88,-16.28,-39.02,73.4,4.7
447,Leningradskiy,33,RU,2019-09-29,71,69.38,178.42,33.89,13.71
448,Khromtau,0,KZ,2019-09-29,42,50.26,58.44,45.95,8.21
449,Santa Vitoria do Palmar,2,BR,2019-09-29,84,-33.52,-53.37,60.35,7.92
450,Arman,100,RU,2019-09-29,94,59.7,150.17,32.09,9.13
451,East Peoria,90,US,2019-09-29,100,40.67,-89.58,68.0,10.67
452,Los Llanos de Aridane,40,ES,2019-09-29,65,28.66,-17.92,77.0,8.05
453,Popondetta,72,PG,2019-09-29,96,-8.77,148.24,66.11,1.61
454,Beryslav,87,UA,2019-09-29,55,46.84,33.42,71.15,15.84
455,Opelousas,1,US,2019-09-29,100,30.53,-92.08,75.0,5.26
456,Sisimiut,98,GL,2019-09-29,62,66.94,-53.67,43.61,8.3
457,Rabaul,67,PG,2019-09-29,77,-4.2,152.17,82.49,9.86
458,Joniskis,75,LT,2019-09-29,93,56.24,23.62,53.6,11.41
459,Novita,100,CO,2019-09-29,97,4.96,-76.61,73.67,0.76
460,Sola,50,TZ,2019-09-29,28,-3.17,33.8,91.67,3.76
461,Peniche,20,PT,2019-09-29,60,39.36,-9.38,75.0,11.41
462,Wagar,0,US,2019-09-29,94,31.44,-87.99,73.0,1.92
463,Merrill,75,US,2019-09-29,80,42.03,-121.6,33.8,6.93
464,Khandyga,25,RU,2019-09-29,66,62.65,135.58,31.55,5.19
465,Miandrivazo,40,MG,2019-09-29,21,-19.53,45.46,94.01,12.64
466,Rio Grande,90,BR,2019-09-29,72,-32.03,-52.1,68.0,11.41
467,Anaconda,90,US,2019-09-29,85,46.13,-112.94,24.8,8.05
468,Puerto Colombia,75,CO,2019-09-29,94,10.99,-74.96,82.0,8.05
469,Dauriya,75,RU,2019-09-29,32,49.93,116.85,48.65,10.49
470,Port-Gentil,90,GA,2019-09-29,88,-0.72,8.78,78.8,12.75
471,Nampula,20,MZ,2019-09-29,29,-15.12,39.26,91.4,5.82
472,Poso,88,ID,2019-09-29,97,-1.4,120.75,63.95,1.05
473,Leshukonskoye,100,RU,2019-09-29,86,64.9,45.76,42.71,9.26
474,Ha Giang,22,VN,2019-09-29,85,22.83,104.99,62.15,2.51
475,Qaqortoq,75,GL,2019-09-29,26,60.72,-46.03,55.4,19.46
476,Srivardhan,100,IN,2019-09-29,81,18.03,73.02,81.59,8.75
477,Murray Bridge,76,AU,2019-09-29,87,-35.12,139.28,54.0,3.29
478,Saint-Francois,0,FR,2019-09-29,28,46.42,3.91,82.4,13.87
479,Mulchen,90,CL,2019-09-29,100,-37.72,-72.23,41.0,1.95
480,Ingham,0,AU,2019-09-29,96,-18.65,146.16,63.05,1.3
481,Bonito,84,BR,2019-09-29,73,-1.36,-47.3,83.21,9.01
482,Flin Flon,20,CA,2019-09-29,92,54.77,-101.88,28.4,3.36
483,Bouca,86,CF,2019-09-29,72,6.51,18.28,84.11,2.64
484,Ngunguru,64,NZ,2019-09-29,84,-35.62,174.5,57.99,10.0
485,Paka,97,CF,2019-09-29,56,4.15,15.03,83.21,4.81
486,Labuhan,66,ID,2019-09-29,76,-2.54,115.51,77.81,2.95
487,Santo Domingo,75,DO,2019-09-29,94,18.48,-69.94,84.99,3.38
488,Maldonado,20,UY,2019-09-29,82,-34.91,-54.96,60.8,10.29
489,San Martin,0,US,2019-09-29,81,37.08,-121.61,50.0,2.37
490,Yar-Sale,94,RU,2019-09-29,70,66.83,70.83,34.25,9.89
491,Vila do Maio,3,CV,2019-09-29,72,15.13,-23.22,79.43,9.24
492,Iranshahr,20,IR,2019-09-29,16,27.21,60.69,107.6,13.87
493,Port-Cartier,20,CA,2019-09-29,65,50.03,-66.88,48.99,8.05
494,Nuuk,75,GL,2019-09-29,93,64.17,-51.74,41.0,6.93
495,Zharkent,74,KZ,2019-09-29,63,44.17,80.0,54.41,1.28
496,Nohfelden,75,DE,2019-09-29,72,49.59,7.14,66.99,16.11
497,Den Helder,75,NL,2019-09-29,93,52.96,4.76,61.0,20.8
498,Talcahuano,75,CL,2019-09-29,100,-36.72,-73.12,51.8,2.24
499,Balmazujvaros,0,HU,2019-09-29,46,47.62,21.35,71.6,9.17
